Usuario,City,User items,Item title,Item description,Item views,Size,Brand,Status,Price,Color,Likes
mochetin,,3,Zapatillas deporte niña Adidas,Zapatillas niña talla 33. Negro y fucsia. usadas pero todavía pueden usarse bastante.,0,33,Adidas,Bueno,"3,00 €",1,0
karen1998g,,4,Top floreado ,"Esta en buen estado, ni un solo uno. ",3,M / 38 / 10,SheInside,Nuevo sin etiquetas,"5,00 €",15,1
mariamalcon,,2,Pantalones color verde militar,Pantalones sueltos en muy buen estado ,1,M / 38 / 10,Stradivarius,Muy bueno,"5,00 €",10,1
yorosa2020,,2,Pulsera a estrenar,pulsera de mujer sin estrenar,0,,misako,Nuevo con etiquetas,"3,00 €",14,0
eleenitaperez,,3,Pantalón corto finito Bershka ,"Usado poco, es fresquito y tiene la cintura elástica ",0,M / 38 / 10,Bershka,Muy bueno,"4,50 €",9,0
carmenfuerteslopez,Medina del Campo,10,Vestido tirantes asimétrico ,Sin estrenar,0,M / 38 / 10,Desconocida,Nuevo sin etiquetas,"5,00 €",9,0
raquelitalr,La Matanza de Acentejo,1,Tacones gruesos nuevos,"Tacones negros de Pull&Bear. Tienen muy poco uso, por lo que están en perfecto estado. La tela es muy bonita y son bastante cómodos. Los recomiendo 100%  ",0,37,Pull & Bear,Muy bueno,"5,00 €",1,0
antonia33587,,3,Pantalón denim elástico azul claro. Talla 36,Usado muy poco. Talla 36 pero muy elástico y adaptable. H&M,1,S / 36 / 8,H&M,Muy bueno,"4,00 €",26,1
lourdeshernan080166,Hellin,17,Zapatillas Springfield,38.sin etiquetas pero solo usadas un rato en casa,0,38,Springfield,Nuevo sin etiquetas,"6,00 €",12,0
lauramateeu,Marratxi,35,Falda vaquera ,"No la he usado más de tres veces. 
",0,M / 38 / 10,tienda local,Muy bueno,"5,00 €",9,0
saramedinamartinez,Barcelona,7,Chaleco calado Bershka ,Chaleco blanco calado corto. Usado una vez. ,0,M / 38 / 10,Bershka,Muy bueno,"5,00 €",12,0
antonia33587,,3,Pantalón denim elástico azul claro. Talla 36,Usado muy poco. Talla 36 pero muy elástico y adaptable. H&M,1,S / 36 / 8,H&M,Muy bueno,"4,00 €",26,1
lourdeshernan080166,Hellin,17,Zapatillas Springfield,38.sin etiquetas pero solo usadas un rato en casa,0,38,Springfield,Nuevo sin etiquetas,"6,00 €",12,0
